parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
E14001218,East Worthing and Shoreham,6.4,20.7,62,189,458,1062,1.1,1.8,15.4,28,65,268
E14001219,Eastbourne,6.3,20.4,64,155,494,985,0.9,1.9,16.6,37,121,544
E14001220,Eastleigh,6.8,21,63,200,445,990,1.2,2,15.1,27,67,563
S14000078,Edinburgh East and Musselburgh,6.6,20.6,65,181,461,1035,1,1.4,16.9,33,90,391
S14000079,Edinburgh North and Leith,6.6,21.9,67,182,459,1031,0.9,1.2,16.5,38,114,394
S14000080,Edinburgh South,6.6,21.6,65,186,458,1043,1.2,1.4,16.8,30,78,382
S14000081,Edinburgh South West,6.9,21.4,65,186,455,1041,1.2,1.2,17.4,33,93,451
S14000082,Edinburgh West,6.7,21.5,64,184,462,1035,1,1.4,17.5,33,87,420
E14001221,Edmonton and Winchmore Hill,6.2,21.4,66,197,446,1102,1.3,1.6,15.7,31,83,447
E14001222,Ellesmere Port and Bromborough,6.3,20.7,62,185,468,1069,1.1,1.8,14.9,26,57,109
E14001223,Eltham and Chislehurst,6,20.8,64,180,471,1066,1.2,2.1,15.4,42,127,549
E14001224,Ely and East Cambridgeshire,6.4,21.7,64,174,479,1048,1,1.8,15.4,31,89,254
E14001225,Enfield North,6.3,20.5,65,200,439,1104,1.4,2.3,15.5,29,73,293
E14001226,Epping Forest,6.2,21.3,65,191,463,1084,1,2.1,15.7,31,106,289
E14001227,Epsom and Ewell,6.5,21,64,185,467,1079,1,2.1,15.2,31,81,314
E14001228,Erewash,6.6,20.3,63,190,453,1086,0.9,1.8,14.9,25,54,114
E14001229,Erith and Thamesmead,6.2,19.9,65,180,469,1051,1.2,2,16,40,122,530
E14001230,Esher and Walton,6.3,21.2,65,189,463,1068,1.2,2.1,15.6,29,71,199
E14001231,Exeter,6.2,21.2,63,187,461,1071,0.9,1.5,15.1,26,56,111
E14001232,Exmouth and Exeter East,6.6,21.9,62,173,468,1034,0.9,1.6,14.9,54,94,125
S14000083,Falkirk,6.7,20.6,61,199,445,1099,1,1.6,13.9,24,49,107
E14001233,Fareham and Waterlooville,6.4,21,61,198,449,1033,0.9,2.2,14.4,25,52,387
E14001234,Farnham and Bordon,6.2,20.8,64,165,461,971,1.1,3,15.3,67,189,489
E14001235,Faversham and Mid Kent,6.4,21.5,62,177,470,1056,0.8,1.9,14.7,29,78,183
E14001236,Feltham and Heston,5.6,21.1,66,195,455,1073,1.1,2.3,16.2,37,99,437
N05000007,Fermanagh and South Tyrone,7.7,22.8,61,150,435,1005,0.5,1.1,14.7,30,90,162
E14001237,Filton and Bradley Stoke,6.2,21.4,64,195,458,1073,0.9,1.9,15.3,29,134,198
E14001238,Finchley and Golders Green,6.2,21.4,68,194,448,1077,1.3,1.9,16.6,38,110,395
E14001239,Folkestone and Hythe,6.7,21.1,62,184,459,1078,0.9,1.7,14.8,32,102,283
E14001240,Forest of Dean,7,22.4,61,194,467,986,0.8,1.4,14.7,122,377,514
N05000008,Foyle,6.1,20.4,65,186,462,1058,0.9,1.4,15.8,26,57,110
E14001241,Frome and East Somerset,7,22.2,62,180,470,1033,0.8,1.4,16,59,256,305
E14001242,Fylde,6.7,20.4,62,166,480,1030,1.1,1.9,15.2,28,64,119
E14001243,Gainsborough,6.8,22,63,171,467,1048,0.8,1.6,15.1,36,87,157
E14001244,Gateshead Central and Whickham,6.6,20.7,62,199,435,1106,1,1.4,14.4,26,53,151
E14001245,Gedling,6.2,20.2,63,189,458,1077,1.2,1.8,14.9,26,56,135
E14001246,Gillingham and Rainham,6.6,19.3,64,186,457,1059,0.9,1.6,16.5,29,73,341
S14000084,Glasgow East,6.6,21.5,66,176,469,1021,1,1.2,16.4,44,114,393
S14000085,Glasgow North,5.9,21.5,66,180,456,1023,1,1.3,16.5,40,120,470
